Ticker,Test_statistics_1,Test_statistics_2,Test_statistics_3,Test_statistics_4,Test_statistics_5,Test_statistics_6,Test_statistics_7,Test_statistics_8,Test_statistics_9,Test_statistics_10,p_value_1,p_value_2,p_value_3,p_value_4,p_value_5,p_value_6,p_value_7,p_value_8,p_value_9,p_value_10,X_in_sample_MSE_1,X_in_sample_MSE_2,X_in_sample_MSE_3,X_in_sample_MSE_4,X_in_sample_MSE_5,X_in_sample_MSE_6,X_in_sample_MSE_7,X_in_sample_MSE_8,X_in_sample_MSE_9,X_in_sample_MSE_10,X_in_sample_MAE_1,X_in_sample_MAE_2,X_in_sample_MAE_3,X_in_sample_MAE_4,X_in_sample_MAE_5,X_in_sample_MAE_6,X_in_sample_MAE_7,X_in_sample_MAE_8,X_in_sample_MAE_9,X_in_sample_MAE_10,X_in_sample_RSS_1,X_in_sample_RSS_2,X_in_sample_RSS_3,X_in_sample_RSS_4,X_in_sample_RSS_5,X_in_sample_RSS_6,X_in_sample_RSS_7,X_in_sample_RSS_8,X_in_sample_RSS_9,X_in_sample_RSS_10,X_prediction_MSE_1,X_prediction_MSE_2,X_prediction_MSE_3,X_prediction_MSE_4,X_prediction_MSE_5,X_prediction_MSE_6,X_prediction_MSE_7,X_prediction_MSE_8,X_prediction_MSE_9,X_prediction_MSE_10,X_prediction_MAE_1,X_prediction_MAE_2,X_prediction_MAE_3,X_prediction_MAE_4,X_prediction_MAE_5,X_prediction_MAE_6,X_prediction_MAE_7,X_prediction_MAE_8,X_prediction_MAE_9,X_prediction_MAE_10,X_prediction_RSS_1,X_prediction_RSS_2,X_prediction_RSS_3,X_prediction_RSS_4,X_prediction_RSS_5,X_prediction_RSS_6,X_prediction_RSS_7,X_prediction_RSS_8,X_prediction_RSS_9,X_prediction_RSS_10,XY_in_sample_MSE_1,XY_in_sample_MSE_2,XY_in_sample_MSE_3,XY_in_sample_MSE_4,XY_in_sample_MSE_5,XY_in_sample_MSE_6,XY_in_sample_MSE_7,XY_in_sample_MSE_8,XY_in_sample_MSE_9,XY_in_sample_MSE_10,XY_in_sample_MAE_1,XY_in_sample_MAE_2,XY_in_sample_MAE_3,XY_in_sample_MAE_4,XY_in_sample_MAE_5,XY_in_sample_MAE_6,XY_in_sample_MAE_7,XY_in_sample_MAE_8,XY_in_sample_MAE_9,XY_in_sample_MAE_10,XY_in_sample_RSS_1,XY_in_sample_RSS_2,XY_in_sample_RSS_3,XY_in_sample_RSS_4,XY_in_sample_RSS_5,XY_in_sample_RSS_6,XY_in_sample_RSS_7,XY_in_sample_RSS_8,XY_in_sample_RSS_9,XY_in_sample_RSS_10,XY_prediction_MSE_1,XY_prediction_MSE_2,XY_prediction_MSE_3,XY_prediction_MSE_4,XY_prediction_MSE_5,XY_prediction_MSE_6,XY_prediction_MSE_7,XY_prediction_MSE_8,XY_prediction_MSE_9,XY_prediction_MSE_10,XY_prediction_MAE_1,XY_prediction_MAE_2,XY_prediction_MAE_3,XY_prediction_MAE_4,XY_prediction_MAE_5,XY_prediction_MAE_6,XY_prediction_MAE_7,XY_prediction_MAE_8,XY_prediction_MAE_9,XY_prediction_MAE_10,XY_prediction_RSS_1,XY_prediction_RSS_2,XY_prediction_RSS_3,XY_prediction_RSS_4,XY_prediction_RSS_5,XY_prediction_RSS_6,XY_prediction_RSS_7,XY_prediction_RSS_8,XY_prediction_RSS_9,XY_prediction_RSS_10
NEE,21983.0,25511.0,31964.0,27727.0,35035.0,27725.0,30998.0,27662.0,29662.0,25047.0,0.9999999997971133,0.9999965062448125,0.9054102471589354,0.9994775139078607,0.36372397444727905,0.9991111475687796,0.9257191592066735,0.9986518142042161,0.9734826868422005,0.9999826145628673,1.1952586960732936,0.9662578426116715,0.9527575594199986,0.9542365208142279,0.9537207745265159,0.8657747079732395,0.8607289579434617,0.8292448071651691,0.8224144994931083,0.811216483591092,0.3365964657501652,0.3013155994506378,0.2973987993648088,0.2983317418348971,0.2975532198325643,0.28998391558213416,0.2851132797780675,0.2894650193167436,0.2858271930294502,0.28531297660904076,20.92845967338516,10.176692350476864,9.56548896690091,8.08673584360722,10.690295019875572,6.392471475690582,6.229067892937219,3.081408221240867,5.708221571869175,4.946429426831059,0.6282069632575871,0.6725259044892186,0.6278497806207612,0.6142745902562038,0.6208705436997817,0.6293069523924683,0.6279034747758337,0.6345588352096478,0.6407844052004515,0.6314717448436774,0.3312167456608857,0.3500087844807898,0.34478180022781996,0.3479627966373243,0.34854659963234763,0.34538784599596134,0.3423847801307625,0.3442004383706622,0.3424292321701236,0.3433298501549599,3.6034266724458437,0.23576278868430522,-0.26186107150754245,-0.8824742291961587,0.027363665725626873,-0.2799172120944302,-0.030691764933781007,-1.5600151938597158,0.27351511720855126,-0.3358688676441832,1.1861961233482994,0.9617397523068852,0.9606414015072794,0.9512645264755553,0.9528168964289837,0.8523715316324211,0.8527659679163928,0.8242457448945666,0.8450487156621503,0.8424448182127331,0.3386726340166779,0.30675084680668147,0.3014402301924186,0.2996385628849983,0.29921063579934154,0.29047223392185006,0.2910201649661243,0.2906757925451255,0.29440098948487053,0.29151843095359153,18.367467919561086,5.850186665251751,9.469874941997295,6.236084099785405,6.576321806981494,5.8459660314731225,3.6760684197603215,3.482218274812926,3.6986195520730227,5.517857143704648,0.670758045779365,0.6910832627159379,0.6124923755229656,0.6321789308648099,0.6309152050804941,0.6532464414660507,0.651007382360876,0.6790770303919406,0.6593222136733499,0.6653066508986054,0.3729174661644191,0.3828870709392238,0.3510949009586387,0.376638987061324,0.34622138253033785,0.37234954313398216,0.35670333183752967,0.371054941991036,0.3592855432577709,0.3809541916237372,51.310391288178266,38.88068589172627,27.579883747682825,41.20264691720712,34.66478634145819,27.63135527830267,27.946233938064633,37.21946936778482,18.740244190295286,36.511732137232045
MDT,40819.0,30582.0,32781.0,30695.0,28656.0,28648.0,36170.0,25956.0,22658.0,31578.0,0.005362025221906142,0.9868692165020623,0.8622579896165614,0.9775847857332383,0.9981750393444061,0.9976911819219211,0.1841018076810801,0.9999666600002146,0.9999999838760472,0.858783103443733,1.505492045064064,1.2743806490382845,1.2494460107638068,1.2659472285503857,1.2319335518136298,1.1984155201966116,1.2168963556446415,1.180312860096884,1.1916065319453983,1.1816151248617601,0.43105644282486655,0.396244636634297,0.388431278416485,0.38474829396947324,0.3807320726634028,0.378524524550819,0.3821618517577186,0.3784061599236302,0.38010440378659316,0.3740232737107766,13.69334156043746,10.068503227451632,10.854460759208877,13.930547303717404,10.242756680205922,6.505559501578384,4.705933772014754,7.36493101228083,8.60143978298213,13.413556705854091,0.23341396898619082,0.24470802184237786,0.22983144548225415,0.2234349722652873,0.2272510894455838,0.223969635656941,0.22510065819288447,0.22687335209511592,0.22477016630276128,0.22749443335339026,0.29639137064094884,0.2825029256401029,0.2759539843612883,0.2707015177076159,0.2693108609460776,0.2678515393323772,0.26963925482787376,0.2672911639986058,0.2672698834757879,0.26537511114014795,-32.94008397003304,-20.2054124369763,-16.613271477587368,-15.05967465603174,-14.078623163010382,-14.204884324384514,-13.612783970282381,-10.553995338662132,-10.197377481876506,-8.088455277111747,1.4979188204176561,1.2694558220797751,1.2492695590426415,1.252686111763305,1.220750518534957,1.1829841758624717,1.1625136819060078,1.1779962361074188,1.1654992334950227,1.1577039966472134,0.42609771738128194,0.3963316577393659,0.3867928788632778,0.38380832076080634,0.38152756814296007,0.3748352110077579,0.37733036126555997,0.3751597932509311,0.3775548196592666,0.37470161481277364,19.498386850239818,9.908727686287651,11.67858813342579,14.357928025267832,9.22526376144262,9.576977512673778,8.60997432841577,12.120853136536336,7.1763157058557345,10.814753991245478,0.2239258372442712,0.2568215422814905,0.282395414811102,0.27463904097606207,0.32349560079816214,0.26122839551594185,0.254271713200636,0.24226404718153272,0.25342014150529335,0.2477256366887728,0.2867055708904082,0.29316365697320274,0.3146902054671732,0.3000152146258838,0.32464493411744566,0.2950542740821088,0.27186290833207855,0.29738605016071185,0.31485955631128293,0.28079884798530585,-27.998514537882482,-4.234604747734226,39.118024236567514,38.95877516640905,64.02101203477068,7.053470832599676,25.799621129437394,-18.573920708077555,-28.958729766455097,29.94198997077682
TJX,44619.0,42243.0,36029.0,38416.0,38635.0,34672.0,36227.0,29657.0,25930.0,24879.0,1.3257031116469827e-08,3.494335149072877e-06,0.06712739403130122,0.0026119033000316667,0.0013231337191236482,0.13473106416191916,0.023259345621181957,0.8965830415238232,0.9989853103532635,0.9998058521698051,1.679301399418543,1.5555628232763812,1.5549441083265032,1.5358361655430082,1.5390771040662867,1.501123003465771,1.482113556004824,1.476074740129921,1.4696923473417127,1.474224415130986,0.3367066407111162,0.3298764435051382,0.3194856002097222,0.319153197339083,0.31945771904330267,0.3044724299477725,0.3022003868310227,0.2966497349987186,0.2971647216593435,0.2959292478061525,29.444743557791547,20.24912521418841,30.056519561468647,22.90744447031728,25.23164063484579,21.39613601953004,15.574574837539819,18.148671486914136,15.113451352251175,18.791838835787875,0.04026502438133932,0.03401005125148505,0.030725526327589393,0.02930261808722625,0.028591186458074784,0.027201313636181293,0.026588743460368686,0.025952160760980572,0.025663425393069494,0.025595537011463398,0.1675300522912974,0.1360228470935076,0.12290277725147951,0.12088300877302388,0.11868877430931132,0.11172653418387851,0.10475971722212281,0.09521004940225407,0.09533360846946677,0.09380694804943447,-47.64777092861748,-32.13978452062238,-26.989040979805637,-26.33444635604905,-25.211481801408844,-22.24911139300199,-19.231691175931694,-13.467826899881002,-13.887022354378766,-12.417059095265136,1.6460546181730773,1.5413591696084024,1.5352396924646063,1.5103694349555201,1.5261710461956672,1.4806214150044203,1.4615149859365832,1.4487181102150954,1.4588952545664189,1.4618590234675266,0.3370425032490415,0.32686136660251564,0.3253085180231478,0.3291991652651719,0.3246952494952553,0.31399734002827867,0.3018931478378447,0.2970709726725325,0.2994953861687174,0.29714209803803504,26.36883503753259,24.56574890472652,24.082813401727975,16.050796763726705,16.421452452216183,10.449461866786969,15.522017572619474,17.33927145650235,19.275550345682017,15.541931625318616,0.04089525216850691,0.03341999997851119,0.03365638064022547,0.032936049110058235,0.03080202549257887,0.031216068008559243,0.0319811378890706,0.03475800568849049,0.039389906344187736,0.03653922001085159,0.15401144117995347,0.12240443861176793,0.11893908279136811,0.11176854894783042,0.110534246683739,0.11063275501386756,0.104063352893469,0.10901516894795023,0.1225790897383295,0.11657915488327968,-28.325604559786512,-11.929833678659113,-4.19628230684182,2.4996287930996437,1.9000120296259004,-2.435264971573966,8.60077802571505,13.673728306969169,13.695035359850683,8.233097588954697
ETN,35407.0,29004.0,30319.0,28251.0,29635.0,34877.0,28955.0,24291.0,23108.0,17599.0,0.0006516512160723968,0.5699513593575524,0.2615212577008398,0.6571435367878402,0.3248807683191278,0.000263997378986807,0.3946040672798887,0.9879119400235843,0.9977199250947119,0.9999999978709497,1.4013396038782653,1.3376335579020033,1.3446284901579695,1.3313950820659368,1.337030247226999,1.2764160589822038,1.26579833419532,1.2690212908775973,1.2476579817862425,1.2550540240331574,0.3620377912887922,0.34476869898151424,0.34027359165609855,0.3412622341490369,0.3436450142005459,0.33990922831150056,0.33944171601956175,0.342125977427129,0.33691876948826455,0.3378194023214326,13.228510555124492,18.72987065462503,21.228340871161222,17.30347020676093,15.056750783351514,13.783382136754954,14.597156916631597,12.89583624892739,13.377364942776397,16.24795728862549,0.13855047651335653,0.13777085717293439,0.1333807450572374,0.13307766966127402,0.13125748294173364,0.13247927651233318,0.1340354699108425,0.13163657371072754,0.13204129057378586,0.13050027331494432,0.21666804486129354,0.19935831588154018,0.19597261873716038,0.19491369781115997,0.19358237328854744,0.19175607778418438,0.1897436674994125,0.18847939291226085,0.18440635649987763,0.18265638426632722,-27.504658872890825,-16.82581714110252,-14.624130301753171,-13.551963755863008,-12.976980413506842,-11.346500619237032,-7.8143444059586304,-8.986220632586184,-6.089797136255809,-5.8077072179952385,1.3958456563639539,1.3182361118043942,1.306956612743224,1.294639428350175,1.3145843897819218,1.2068867647251498,1.208110197358688,1.2073052768895025,1.2304003110042925,1.2161915857037966,0.35700024593630497,0.34281120341991733,0.3355904219376125,0.333040695334066,0.3389732821187229,0.3336900172747328,0.3340338138737666,0.3343448205621226,0.3361357483339494,0.3338838843118423,15.423157574387833,19.363879336957922,18.99045133729868,21.51410892078387,16.818746721026763,10.616391492456478,15.70114313613457,13.019860869207077,12.388944764593981,12.706356606784132,0.13226535250673532,0.14503328505624877,0.13436287067239716,0.16115992148042718,0.1552180908197065,0.13532947669814838,0.1476211725347835,0.15066125700184055,0.13532852189281386,0.14710223801384442,0.19912486226129134,0.20493663925322111,0.1911050627764906,0.2127444690944733,0.20469655147644616,0.1750145840533715,0.1948732072912651,0.21121681801651088,0.20093182352529315,0.22700036573672028,-5.116980657145001,16.69577797746483,10.438502740470577,36.89410087093502,23.369020286285217,18.234121370206868,28.564781710674783,17.20354606546506,-7.591150970545867,-18.657164891723692
PGR,41231.0,27513.0,23321.0,23021.0,24829.0,29805.0,32136.0,26270.0,27769.0,24476.0,0.0030078289217907368,0.9998849274726095,0.9999999900142577,0.9999999936119076,0.999998987577418,0.9884816051328222,0.8553488900764638,0.9999371380661873,0.9987604831739328,0.999997525759116,0.7318808458313497,0.7080828337621929,0.6870101843761137,0.6722698275908947,0.6746419530486081,0.6925024355610292,0.673301130169572,0.6785317021187274,0.6537723345168326,0.6482320882084709,0.38103298375558714,0.362442652843424,0.35594860159680153,0.3570447713731907,0.35588157279162125,0.35695846606012843,0.35302765263814745,0.3546744073543035,0.3536751691731896,0.35235206932863955,-8.994128072572273,-1.0128492702869094,0.7827172949256644,-3.859160122153297,-2.664037558515782,0.6398842768507664,-0.8091194123264891,1.7539373951268258,0.851985644075971,-0.8692897037956882,1.8409504273965747,1.7764334159413289,1.8050905894197131,1.8110306284667568,1.7692113941024679,1.7559417967044046,1.7736879644591714,1.7623351380249408,1.7736826654625049,1.7886957793891045,0.4247156708447725,0.4138476489613583,0.4156900737092068,0.4216269085970694,0.4122776911827562,0.41221831643572443,0.41184867310062084,0.40991233775217223,0.4159659870169114,0.4191849532762745,-6.850249760506916,-1.1598205624824802,-0.5249738607379439,-3.0761416613934762,-3.0158525794328903,-0.8856341050534338,-1.1760169438484174,0.04107969392995542,-0.09394704501745796,-0.8742841831703545,0.7313566905234481,0.69104566989099,0.6744112768702822,0.6651327882232738,0.6641449100443275,0.6696291330586139,0.6626774932461699,0.6653650141991018,0.635106254058843,0.6319010742717848,0.3798415684353303,0.36183492852215815,0.35479914411321095,0.3515863020694422,0.350960055441797,0.35171672654167574,0.34784151675139596,0.35132787600138854,0.3507858023833325,0.3462478017888879,-6.601264376713281,1.056006095451362,1.6042381543012667,2.001884791493482,1.020082500381167,2.2573762508804394,1.5393506177931557,1.911574757495226,1.3265957845358043,1.3338163416944429,1.886121002224219,1.9572973188707385,1.985426948240791,2.0060281792728096,1.9715382230261493,1.8617659025369344,1.8332273746058125,1.865863051309859,1.8871581269840818,1.9611540417751672,0.41889343990813627,0.5032573468076054,0.5262146803484643,0.5491405688134626,0.5221149508752878,0.47238530140623103,0.4368216318397103,0.4664281824584896,0.4707746629897681,0.5173744651605948,30.826058931227546,99.40509732670833,99.56024291177175,105.2371471767434,110.69479556551164,70.2447802942649,72.62845511842262,68.65829285559215,70.97307268078298,105.01511832789356
VRTX,23937.0,26693.0,33442.0,27055.0,21057.0,20131.0,18821.0,19183.0,21467.0,20656.0,0.9999993241224666,0.9996636756424128,0.49119975407848393,0.9989166476738325,0.9999999989255418,0.999999999914073,0.9999999999985253,0.9999999999917822,0.9999999821106953,0.9999999976273359,1.5822848077119631,1.5787827745178395,1.5808867477147956,1.5818505216796181,1.5696021338785773,1.5637408939507331,1.5566734821252486,1.5591910183913795,1.563030544139217,1.5649218115530688,0.3305859576338822,0.3275169937762479,0.32830401308189616,0.322160129120013,0.31175663595979863,0.3092303044334001,0.30802790183884066,0.31028439469127417,0.30944774678817,0.3100166698850368,7.153733185910196,8.663070780262172,6.931757317256561,14.13223486272624,22.72624749488399,22.52440317785363,23.21682182902845,21.247532846584644,21.822215392347584,21.27016712965065,0.29928317767426477,0.3002633741293412,0.3007717263474288,0.29784976389570056,0.29765448687043755,0.2988057276962209,0.30056609049388544,0.30054935735407945,0.3006903617712525,0.301786500773742,0.24271936408605793,0.23661097481889393,0.23640902278358006,0.2267505379058613,0.2093168184760591,0.2046082117466766,0.20088357463782558,0.20074061874676125,0.20164886798841844,0.20109349929833417,-40.373491835145046,-36.488772582751835,-36.19909587528357,-32.32140698085984,-23.103708437636733,-19.636852790204102,-16.355258404798292,-16.62750559659352,-16.729283290761238,-16.05145349912865,1.5654186977301467,1.5607282038103785,1.568436482320426,1.5675115588803892,1.5537881491441357,1.5402384068247505,1.5327902834403149,1.5350158537003114,1.5360508128957506,1.5355331134816068,0.31915159523378017,0.3258462544136418,0.3202961082898028,0.3240738821891305,0.3232160640667081,0.3193110882673107,0.31638943109725076,0.3190228916978706,0.31767177392922413,0.31770789191840315,18.811727233648835,11.643081331662653,18.094252957828754,11.47454155161982,15.153555771645248,14.270601303037141,15.022289939163239,14.118182914044377,13.477647060388813,11.698389796610812,0.3207247882667343,0.31893341222601357,0.3110756542988623,0.3123105907459759,0.3197941654487048,0.323309576289774,0.32089658800327986,0.3235494451593452,0.31953251828838825,0.31283046617174776,0.28007570968019324,0.2652704211205042,0.24113933589989503,0.24903425680554475,0.2538401537616636,0.25415708707007656,0.2464691905399585,0.24903715276522845,0.23968824306175499,0.233365075109085,-54.07549049967692,-45.44420691255962,-34.70125019133822,-37.0775680941295,-39.17384748253255,-37.00719233469411,-34.86308436101252,-34.64131946941515,-25.017341102785135,-25.22814869648364
SBUX,42199.0,39208.0,34129.0,36671.0,30750.0,32600.0,32683.0,31195.0,29614.0,31718.0,0.0006731260423652479,0.029761664744754238,0.6722728788393995,0.19443482074616042,0.9711494751452487,0.8213817560920542,0.7863879811493835,0.9240244188381685,0.98309719199542,0.8427992675049258,1.2733379448479134,1.217008578994858,1.1367722963256073,1.1434892282134466,1.1506290746257126,1.0930270362277752,1.0906112953739395,1.0987714129699944,1.1155363824440774,1.0934453607438537,0.3386126484026655,0.3252446170211094,0.316015640200943,0.3092754392175883,0.31257699823207674,0.31118197293947053,0.31105246445588464,0.3114715758291587,0.313070027395749,0.30736445492240805,15.786403069082347,17.971316350054856,14.270920330176324,20.576630030979334,19.068783707237454,13.601940788116352,11.746964038875454,13.005362727620827,14.071701371689738,14.804565568739235,0.35646952955096456,0.3449234616610407,0.35358859875479315,0.34649269679087463,0.34862108936831826,0.3424664696392862,0.3409176904509018,0.339907086760047,0.33058982848238117,0.33733448147525,0.24086907624040138,0.2268323826668918,0.22808643680150031,0.22129579970295063,0.2220798395596425,0.21948164808019718,0.2173744360112971,0.21600357243985133,0.21313532579664615,0.21306093995967942,-20.660056328768473,-13.508189852477186,-10.261381645191038,-6.6553214567716505,-8.207403896339368,-9.440442315531987,-8.246109856890664,-8.579974747912004,-7.146979632957041,-7.322733264257586,1.2634593993729186,1.206772253903813,1.1229506563835878,1.1258842380203709,1.1439279081808083,1.067096248931082,1.0682210585015064,1.0533362631938188,1.0580827213541228,1.1158315960164629,0.3353432417671727,0.3215986676755187,0.31406955874734066,0.3101222685324032,0.3100782097474914,0.3106103944833187,0.30810411257894565,0.31279854954585457,0.3068165483829839,0.31341313481304944,17.509605729762164,20.62529453578304,15.603288548516304,17.60430701005918,21.077164666513553,13.339596584226978,14.094751000930117,11.239040347688999,12.476075167880815,14.870775099197129,0.34528753924524924,0.3435881304932323,0.3587437597432883,0.352556083227636,0.3609176705169103,0.3615941694218888,0.3527458032826705,0.3611780684183275,0.35797134301704003,0.352849047741291,0.2208073619754526,0.21241775888693615,0.22676344512905594,0.21566450828939185,0.22989974286784115,0.22455718001076164,0.21873297114737053,0.23487972605748253,0.2317251368751562,0.21961303662263365,9.662617009231267,19.67144958289602,24.49089286339694,25.919727214332323,40.06149959847316,38.21566565032478,46.55660227346961,39.93131901072617,53.91135397676176,43.563485146659005
C,32418.0,26994.0,26814.0,39873.0,30017.0,33292.0,35075.0,35619.0,30546.0,29932.0,0.923931609210132,0.9999576120796742,0.9999597069380602,0.008235138236282653,0.9878119805250504,0.7210165987821167,0.35645445928785047,0.23422792853467922,0.9521410375290734,0.9702320659787944,1.321763324047132,1.2217345601772744,1.1997023657143444,1.1940421001766985,1.1577814919816503,1.1820792683831622,1.1878518385791013,1.1988070217359317,1.179295908906977,1.167053947456217,0.38986216125353523,0.36438395106667776,0.35849171010066705,0.3570438553402845,0.3595379259617361,0.3471468476010712,0.3508713948352285,0.35064987885741167,0.34622236231992637,0.3453712069479656,19.835606542268497,17.911431907466895,17.293346619712498,20.17981551106166,13.056740759508225,20.950139945602803,19.35454342159552,19.349830613748697,22.392779678715538,20.798316217562974,0.07648066506421458,0.06613927708147874,0.06483218156812867,0.06223673764546945,0.06429512308434387,0.06253506228547666,0.06144618551402261,0.06053800600337452,0.06094107371835674,0.060831967959021654,0.18356091183698425,0.1598916731036611,0.150657794985289,0.1444077075665068,0.1438130959228585,0.14207661033058097,0.14066690035580703,0.13854286069029786,0.1394801412836891,0.13655939539137957,-34.876528180102035,-21.221678445493424,-14.533875246387796,-10.204794513851011,-7.700448949085741,-6.931982431879687,-7.817411395939596,-7.931309979895017,-7.629484178624773,-5.703949522005603,1.3104895671938286,1.2154239300050826,1.1928756473235977,1.1713862649365494,1.155977451820715,1.1595534551884201,1.156836771482056,1.1855873079462942,1.1477460660113166,1.1672485360779863,0.39099421330703427,0.3647691297119134,0.35791988579728795,0.35781770302696486,0.35962209247046706,0.355875552654891,0.35273049321680705,0.3522347797443627,0.3579966860820406,0.34791528070876965,14.886944010706374,15.512136339000694,16.74205811323071,15.80604552182448,14.765039799371284,14.078883107981477,16.40338243701606,18.05722566628602,13.595145163735529,16.164781266427457,0.07239429550817224,0.062444486434750944,0.06309061745917136,0.05890893586481605,0.0628566217075943,0.06335423796079775,0.06071425550628965,0.05963072020683499,0.06089914225464195,0.0626673055964053,0.18251036018939498,0.16482971673929564,0.15463628685180322,0.13720736559875082,0.147869016584013,0.14354539611725178,0.1382862366185025,0.1369540926364076,0.1424750906830435,0.14124399760784312,-35.9703165049573,-25.66941191386951,-17.594346233033463,-5.466333742111523,-10.921089899921986,-6.756146627797234,-5.621627049273409,-6.349028417395317,-9.145491996906427,-4.520884763227986
REGN,48434.0,33347.0,28047.0,40285.0,35906.0,33866.0,41048.0,39507.0,35938.0,36397.0,1.7304710622594077e-10,0.7938866437460576,0.999475473880249,0.003504999590233052,0.24864783384764,0.586797290952328,0.00037201520488095943,0.0032417412770873134,0.14254213041956504,0.08217940682807795,0.6698733307529767,0.662176424149076,0.5895618608570149,0.5905722112082057,0.591565272844199,0.5932391095559728,0.5952176721858395,0.5996715058079555,0.5865064090931271,0.5966087455135787,0.4176739504524606,0.4135548578800148,0.40636878894994377,0.4048823471112375,0.40596992321139114,0.40330965422934817,0.4025188885946821,0.4053225783161256,0.4020124356826385,0.4037371734604503,-0.923959771485435,2.674224001759928,-3.8927118751346583,-3.1362787366657425,-2.769651980873009,-2.209757877769915,-0.40136297363898843,-1.0572852045529006,-0.2513047223936238,1.1907131611712034,0.36640760965501273,0.36495842919759863,0.37550612353436114,0.3713973199540076,0.37320234272062636,0.36851828280543636,0.3672363506026905,0.370316660109402,0.37265929022046496,0.37128798023300136,0.3328838772307843,0.31515936359094127,0.2978382933305448,0.2903278351166011,0.29373921874691505,0.28371524709970203,0.28491218546388947,0.29343246466107564,0.28542308718698034,0.29263153963465754,-62.3106064940983,-52.640256761607674,-43.965762633902706,-41.389941041135316,-42.78180011320717,-37.09824600825059,-37.12643999242254,-40.739079801062736,-36.24190974282388,-38.44276103773691,0.6673901074820024,0.6590773529638544,0.587648120753796,0.5882583763188319,0.5899544357970444,0.5893856238126343,0.5827913475188959,0.5910513602389953,0.5895909886336733,0.5848068084296798,0.4099260205011965,0.41115594170577807,0.40368420636468394,0.4014324491356356,0.39974300884450936,0.400190559569902,0.3936378697288911,0.39798833597280464,0.39519273569339025,0.3964432599943053,7.33299314536861,6.546778006650738,-0.07895537150423292,2.460222107097599,2.1061369795000138,2.0686131892492616,5.264037122925572,7.418573360401359,6.86313982691825,6.365063841256115,0.3641474871809986,0.36193327031449923,0.3725470224902605,0.3656420760778644,0.370185572715062,0.3639406478859891,0.365412573040249,0.36932564259947814,0.36784500365168493,0.3699584062150241,0.32393815848765956,0.31799178268314465,0.3036885654707113,0.2798277958877438,0.28972241543061034,0.28224428450257305,0.27061731135977635,0.28023295181772395,0.27898411845797266,0.28362851444721887,-58.275436223968256,-54.83586510344124,-47.9030368964446,-36.122927856874746,-41.4431324350261,-37.76195203615326,-30.37451939392165,-33.01033188465484,-30.84315593703936,-34.77226543694807
ADP,30431.0,31393.0,33343.0,32976.0,34476.0,31587.0,32413.0,31701.0,26747.0,27851.0,0.8071161642764535,0.6126452318621911,0.2095506244734167,0.23770146085292243,0.056215670761438144,0.4283420145769884,0.24006392818314481,0.33455866058399625,0.9818442932579989,0.9228228655393603,1.4227893485254743,1.1439640633714436,1.1344166252980767,1.1702214464069054,1.146506912373289,1.133912324396795,1.1051272596781936,1.0880985612255425,1.154102368836418,1.1665632097028662,0.38066252227367625,0.3494558922957561,0.34007014007517544,0.33959449793316415,0.3384400276181426,0.333349354457304,0.32957551379621397,0.3297718304465661,0.3344104332110765,0.33995141590716116,12.027274851031356,6.104808871843671,15.858082973770303,16.59072819391021,18.015194396888766,13.184067338804311,15.666876110134528,12.2432523610598,12.772520629015188,11.889918152971157,0.25203611059297343,0.26103754870810697,0.2505545348801001,0.2451846104422065,0.24884580198671014,0.24093958621340603,0.24367241190271266,0.24817747907554003,0.23627280304728732,0.24129790398418818,0.2364592746282721,0.22262606478278105,0.20998703001148694,0.20689374743575428,0.2099523145264124,0.2005834421998977,0.20029898245612807,0.19681394164612417,0.19149176336158108,0.19410203498216932,-34.36403661598893,-23.15141716389291,-17.92833767018926,-16.383716473259483,-16.931082018248386,-14.189800475750028,-12.148705745488156,-10.400486273549307,-9.29362135571877,-8.56409629030871,1.4206284728914462,1.1365898177369371,1.1907123015738983,1.1852260281183804,1.1566798144636987,1.1274384923351504,1.0890072628950782,1.0589226031060055,1.103679471115074,1.0589292159091264,0.3836735991811778,0.35533506015674177,0.34670187918080064,0.34304451157083304,0.34231271883985964,0.3390479105324357,0.3339007668336373,0.3326087174899146,0.33764028781059774,0.3312142221747401,9.467881293777127,-0.36538457663280666,13.404815570823365,12.21005419866871,14.189675214169498,10.441252204688817,12.296392916122352,8.0813288892216,8.135486226087847,10.186275254731997,0.24920828607715884,0.2578588408290925,0.2419007949762759,0.24228265438525404,0.24523667790386464,0.24572074550548328,0.2534389087054618,0.2507524074623123,0.2429755436413799,0.24572705182457327,0.23452965807378787,0.2183428416554416,0.20681309633752631,0.20377453516819752,0.20567846407289683,0.20212136855507026,0.2025270430237818,0.1961527078768952,0.20812475166639668,0.19834077297779482,-32.23864034009607,-18.428338151186036,-3.0341805748426633,-2.880179036312253,-4.2492938195985,-1.0243013557306488,1.2445802114440792,1.1767934264170057,-3.742781634726393,-0.3397716010619907
