Ticker,Test_statistics_1,Test_statistics_2,Test_statistics_3,Test_statistics_4,Test_statistics_5,Test_statistics_6,Test_statistics_7,Test_statistics_8,Test_statistics_9,Test_statistics_10,p_value_1,p_value_2,p_value_3,p_value_4,p_value_5,p_value_6,p_value_7,p_value_8,p_value_9,p_value_10,X_in_sample_MSE_1,X_in_sample_MSE_2,X_in_sample_MSE_3,X_in_sample_MSE_4,X_in_sample_MSE_5,X_in_sample_MSE_6,X_in_sample_MSE_7,X_in_sample_MSE_8,X_in_sample_MSE_9,X_in_sample_MSE_10,X_in_sample_MAE_1,X_in_sample_MAE_2,X_in_sample_MAE_3,X_in_sample_MAE_4,X_in_sample_MAE_5,X_in_sample_MAE_6,X_in_sample_MAE_7,X_in_sample_MAE_8,X_in_sample_MAE_9,X_in_sample_MAE_10,X_in_sample_RSS_1,X_in_sample_RSS_2,X_in_sample_RSS_3,X_in_sample_RSS_4,X_in_sample_RSS_5,X_in_sample_RSS_6,X_in_sample_RSS_7,X_in_sample_RSS_8,X_in_sample_RSS_9,X_in_sample_RSS_10,X_prediction_MSE_1,X_prediction_MSE_2,X_prediction_MSE_3,X_prediction_MSE_4,X_prediction_MSE_5,X_prediction_MSE_6,X_prediction_MSE_7,X_prediction_MSE_8,X_prediction_MSE_9,X_prediction_MSE_10,X_prediction_MAE_1,X_prediction_MAE_2,X_prediction_MAE_3,X_prediction_MAE_4,X_prediction_MAE_5,X_prediction_MAE_6,X_prediction_MAE_7,X_prediction_MAE_8,X_prediction_MAE_9,X_prediction_MAE_10,X_prediction_RSS_1,X_prediction_RSS_2,X_prediction_RSS_3,X_prediction_RSS_4,X_prediction_RSS_5,X_prediction_RSS_6,X_prediction_RSS_7,X_prediction_RSS_8,X_prediction_RSS_9,X_prediction_RSS_10,XY_in_sample_MSE_1,XY_in_sample_MSE_2,XY_in_sample_MSE_3,XY_in_sample_MSE_4,XY_in_sample_MSE_5,XY_in_sample_MSE_6,XY_in_sample_MSE_7,XY_in_sample_MSE_8,XY_in_sample_MSE_9,XY_in_sample_MSE_10,XY_in_sample_MAE_1,XY_in_sample_MAE_2,XY_in_sample_MAE_3,XY_in_sample_MAE_4,XY_in_sample_MAE_5,XY_in_sample_MAE_6,XY_in_sample_MAE_7,XY_in_sample_MAE_8,XY_in_sample_MAE_9,XY_in_sample_MAE_10,XY_in_sample_RSS_1,XY_in_sample_RSS_2,XY_in_sample_RSS_3,XY_in_sample_RSS_4,XY_in_sample_RSS_5,XY_in_sample_RSS_6,XY_in_sample_RSS_7,XY_in_sample_RSS_8,XY_in_sample_RSS_9,XY_in_sample_RSS_10,XY_prediction_MSE_1,XY_prediction_MSE_2,XY_prediction_MSE_3,XY_prediction_MSE_4,XY_prediction_MSE_5,XY_prediction_MSE_6,XY_prediction_MSE_7,XY_prediction_MSE_8,XY_prediction_MSE_9,XY_prediction_MSE_10,XY_prediction_MAE_1,XY_prediction_MAE_2,XY_prediction_MAE_3,XY_prediction_MAE_4,XY_prediction_MAE_5,XY_prediction_MAE_6,XY_prediction_MAE_7,XY_prediction_MAE_8,XY_prediction_MAE_9,XY_prediction_MAE_10,XY_prediction_RSS_1,XY_prediction_RSS_2,XY_prediction_RSS_3,XY_prediction_RSS_4,XY_prediction_RSS_5,XY_prediction_RSS_6,XY_prediction_RSS_7,XY_prediction_RSS_8,XY_prediction_RSS_9,XY_prediction_RSS_10
NEE,30418.0,30284.0,27863.0,27776.0,26898.0,27148.0,26707.0,25736.0,24791.0,24407.0,2.1873740295645604e-18,1.4073702622956991e-18,1.1310749449928172e-12,6.511168907569328e-13,2.7133247523815077e-11,2.6874476929379824e-12,1.0848163454009601e-11,6.279862266353663e-10,2.316095827909358e-08,5.911556679051053e-08,1.1707784402664605,1.1528102159281435,1.115347550791862,1.086994913905382,1.0610599695848235,1.0476598978050315,1.0314558380913859,1.0469991777617524,1.0559983947366405,1.068457148816285,0.4767734508930939,0.46780186561449477,0.44813626470998014,0.44516300676936443,0.4437037642788831,0.44231333837774484,0.4367081090808503,0.44388971250291515,0.44479847511837783,0.44783813754201945,1.98959538997308,7.1547399878891405,9.575292237027968,5.119679410805157,4.0384017912960015,1.7169740230166082,3.148364628110164,2.2950573040357183,3.8669433312751114,3.686457749757597,0.5420252264343932,0.5097167113954906,0.47340147795589926,0.4939069668100342,0.5012687932307379,0.498280103648319,0.5049487779674091,0.49874250734030023,0.5059351485530595,0.4996939729685528,0.37413291953603917,0.35191773742187826,0.3305247478155632,0.33413366450300125,0.3337760052151751,0.3344090291771875,0.331701826623794,0.33368174625950525,0.3342069507326924,0.3320238073012739,-27.965438680839192,-22.60539564606588,-13.906714123176952,-13.693211268549037,-12.48311623252228,-13.628994754434983,-11.962624880063084,-12.4409060552253,-11.831717137376268,-12.060864607794413,1.1316295084444314,1.0875493578655924,1.0654227144570318,1.036319472077485,1.018370245374819,0.9902513946682203,0.9967384522597245,0.985274659907184,0.9963907069446041,0.9692720587240726,0.4673405300890923,0.45971146789848916,0.45294099006170463,0.4463474590936885,0.45343771909792413,0.44050196963357974,0.44464159387185637,0.44487281748917046,0.4497285670599514,0.44120791247161345,6.626865912859072,9.48448744331659,4.426509724389273,2.077297524121303,-3.392540765059125,0.0891499968566879,0.28389087054329265,0.3891657618874197,2.0314785307999776,5.453592936307762,0.5329451178209622,0.48875748565986976,0.45900221355359455,0.4889575820192462,0.4967626626955999,0.49865624241840684,0.49882826787797263,0.49601757442572775,0.4935128462484881,0.5098772615969397,0.3032874975247003,0.26936992963694434,0.2890002431133022,0.2904430549698771,0.28968937837921516,0.2858438915959095,0.2825815673747557,0.29505714760818963,0.29486423074549734,0.2985882062253718,1.9795111209392366,14.648734575371806,5.783780656786088,7.253498912873485,9.54517424179941,11.328374538651248,14.74524318271157,10.95675379339349,11.592954621288511,11.346840237596576
MDT,16816.0,31599.0,30334.0,24377.0,29451.0,29349.0,29257.0,25143.0,30142.0,26343.0,0.9996861072233261,5.338426575938456e-12,6.7384341520665e-10,0.01926800225450731,5.547274681915384e-09,3.892575065919806e-09,2.606028459834148e-09,0.001090118792292893,8.184606517360784e-12,1.596550584071708e-05,1.7041651144005818,1.7005742961805836,1.6320503910370252,1.526001013012137,1.525349478999255,1.5243686838241506,1.5257973707447752,1.5376259827075678,1.5282427212615481,1.509792301688015,0.36914830080792815,0.368547743761779,0.3575861966709063,0.34776803488338315,0.35048425697492347,0.34932127072506125,0.3496059141100101,0.34512656990489193,0.33942383852891517,0.3377451378090151,19.29662712821447,13.171301747050217,12.000600262511643,9.791776480101396,2.8191471459047395,4.587556406680845,7.893909750451595,10.873230514563163,6.9853581451274795,8.617819951795616,0.06521513583783096,0.06552886792916786,0.060346995132385804,0.05762026203593155,0.058439536796205796,0.057883344925490694,0.05921418465862444,0.056798947751185186,0.0563105941760425,0.05583905480416974,0.2126336976755158,0.21392259746639689,0.19500010003259974,0.17920598174073424,0.1852876256752056,0.1827368897733903,0.18455503260239794,0.17696477139288982,0.18002079216201078,0.17398446027488831,-42.53192504205251,-42.950704163467066,-34.79549486377519,-27.49011932021595,-30.109646310386196,-28.661129820587345,-29.080580384879397,-25.287774730715576,-26.791750698661623,-23.5351123881303,1.7011307158582918,1.6959509731751494,1.6228197463960026,1.5109592527632336,1.5143130892840704,1.5170028378965474,1.5302253520851579,1.5372040908973514,1.5132785699134728,1.5225835368430136,0.3656662256062678,0.36743624654403145,0.35715319327874545,0.3479388762264217,0.3473733383088026,0.3477228345748245,0.34558658227872063,0.3499899146967175,0.3420470906852564,0.3488923701228613,21.30420112302232,15.09692684987754,10.73224389689432,9.106715152686801,7.185594263666454,6.329237009223901,8.866156337495203,8.27783929880661,7.025713415855927,5.605126150366489,0.06488339838340038,0.058908301395796336,0.05570523569467591,0.05528084323043131,0.05351566639444848,0.05388327863692625,0.053008662853144525,0.053553231516318016,0.05134200574455081,0.05325167033605755,0.2137918830171628,0.19708172347446895,0.17753325107102463,0.17384936479689345,0.17102995014186848,0.16980618300387534,0.1689690018543544,0.16833776466137354,0.15659147093414602,0.15989151872629317,-42.978589408923625,-36.38085215172312,-26.5616394870566,-24.71109203213483,-22.93380811815983,-22.81879807934933,-22.0696304246681,-22.256291741747084,-15.27155801615138,-16.507760361699408
TJX,30669.0,29710.0,26740.0,26121.0,24926.0,24883.0,23317.0,23742.0,24218.0,24371.0,2.3874927797681784e-35,5.618675020562225e-32,5.532881638628939e-21,1.73287927380332e-19,3.45768702767629e-16,1.2775862697813538e-16,1.6138414354592904e-12,3.2366210063012467e-14,3.2273554681908624e-16,2.68279956407622e-17,1.7540011788668788,1.7211461844091949,1.707467727009721,1.7017313328227963,1.7015997729545533,1.7025928378000503,1.701554771297642,1.7045440842438313,1.70797753243477,1.7094024769687572,0.2899296637045216,0.2705193389757075,0.258566339076342,0.25490909042087945,0.2561806301769808,0.2544944301293556,0.2553211613457328,0.25697655088415317,0.2548140008396093,0.259145225203807,18.46131339167161,19.61630446408999,20.618688023310167,19.09446736467866,19.006881614510764,20.819456318743587,18.50953162411994,17.64595320098336,17.96867868987348,15.96850871088375,0.023731187554196176,0.015095267824781105,0.011471542483566952,0.009685964037155713,0.00878723891431257,0.007763909679963041,0.009957709724694943,0.0107008666022009,0.011646296363958981,0.011715805153347848,0.147402716054469,0.11376845416269732,0.09654475171953965,0.08643523584657091,0.08081645199208773,0.0742587174287066,0.08743635172036252,0.09216437904781766,0.09724159195548514,0.09797138055844702,-35.4333392932319,-26.265531606545483,-21.225401941181325,-18.25433575318333,-16.36547648625037,-14.28444951362773,-18.218261023841563,-19.52347416061167,-20.902480944439308,-21.0631178438513,1.7361439146322717,1.6939285162873343,1.6839650949437444,1.6859175295332052,1.6793048939340098,1.6856835784898698,1.6868928675841068,1.6871001690277487,1.6913407950718664,1.6976836371520356,0.2817362661254433,0.2692873910746214,0.2598012677048524,0.25813729734731494,0.2599266689168846,0.2564789498107331,0.2616901832370992,0.2609808530397955,0.2643662286423495,0.26610590778690735,22.16893689530823,18.102083647541093,17.822018172718593,17.520208428575224,18.974929474123613,20.126294026501533,20.05514684735632,17.032063296290588,16.03881740368407,14.996733380746287,0.011701832821474708,0.007717106971123181,0.008761045324849911,0.006926165235509044,0.007560895981824027,0.006641477720317566,0.008961494412109203,0.008376329523798118,0.008480521194134876,0.008372319689467866,0.09552752203342897,0.07366529056218021,0.062248619598119254,0.05093405053406658,0.06044670318419825,0.05234374393661217,0.05650975173568774,0.0556057708679008,0.05619779723621347,0.056018756606781434,-21.19634880975421,-14.88100774822926,-10.013801461511465,-4.772556935932007,-8.966860550433006,-5.343115549160673,-2.2885736505014376,-1.9717847071886512,-4.033008681989754,-3.6419002840145014
ETN,17322.0,16726.0,16611.0,16301.0,15188.0,14855.0,14498.0,14644.0,13888.0,13528.0,1.887204857877091e-18,1.883038320298958e-16,1.3198778908598602e-16,6.749118499871489e-16,5.797479762997898e-12,3.0326282669251884e-11,1.8742596284053007e-10,1.7540517647716964e-11,2.8252474305093074e-09,1.596737144900129e-08,1.6399082600380608,1.545665645031133,1.5598386106209592,1.5589733232074314,1.561080838307664,1.5753405386667019,1.5643730117811652,1.5646080336474681,1.5559468376045102,1.5754514081126307,0.3338673363171269,0.3212475137730037,0.31828667416536205,0.31559758224229306,0.314500383792016,0.31573741311667664,0.30801152006393284,0.3028076774396888,0.29869933484405836,0.3018529328666025,1.316807880044765,-0.7031412648457578,1.066973148029191,2.4897347068608178,0.3438177282346945,2.200526739458463,5.950918538233116,3.876531600366863,5.804449192243998,5.891814623438321,0.271849913534883,0.2752279894335138,0.2721601843011342,0.2769621329254466,0.2770662716787033,0.2764910632018093,0.2798316738882282,0.2802547355951687,0.2842019690356229,0.28142526622097375,0.2657252495134485,0.24505772961495242,0.24600283870762882,0.24725040344546403,0.24544645030142784,0.24372669781079,0.23662121360445798,0.23861859668407906,0.23254570820483345,0.2361024432094628,-24.177356983626495,-18.68417434653395,-18.91508841877312,-18.57801523691237,-18.128278564981144,-16.985965650656656,-14.657816593604624,-15.224404842889967,-12.773838090595026,-13.800172727566714,1.6252764553600823,1.5300178238062436,1.5249568890079208,1.514443359996067,1.5304202525314357,1.5170781948631906,1.542602964340593,1.5276726947078925,1.5233732691551853,1.5530524126119973,0.32756179006618086,0.3070049562598484,0.3029320608175012,0.30784964123206093,0.3004362605227487,0.2961618994516617,0.29036160755508106,0.2850340464724622,0.28288199538494024,0.29354073560357824,10.529832918408173,9.739235554593472,12.64090972707971,11.91367139194242,12.283712335525328,12.966189498535288,14.049253454169142,13.543350549993635,13.803338580527706,14.034059682689184,0.26287315794433325,0.27082613437677605,0.2714889442997527,0.2732644547715427,0.28200669964216446,0.2861312926401351,0.283032063375599,0.2862927691588365,0.2908919640355661,0.2925929615557326,0.18103273976755604,0.16321850916874736,0.15438321405357291,0.14983268844506228,0.16381359095789086,0.16219351467435167,0.16279388481639834,0.16241025933450798,0.17008032343527374,0.17059970668687519,-0.2207902458945662,7.803991568944076,11.25898511135511,14.678032176306406,21.451377245510965,19.058164243924026,22.35540163789457,17.129667102062044,21.156630185315215,24.15980033912925
PGR,18133.0,17780.0,17101.0,16770.0,16410.0,16054.0,15475.0,15081.0,13423.0,14793.0,9.774561965341006e-15,5.441167623075843e-14,4.180171394383654e-12,1.759574335001102e-11,9.044343548702387e-11,4.3706505695347534e-10,9.528805261287679e-09,5.210368566151726e-08,0.0002192711261054831,5.8475166958113946e-08,1.313108687296098,1.1205790220877245,1.108318686731654,1.0967909103156843,1.0388320444450618,1.113060681549308,1.106581969586191,1.103165814121044,1.0729977215156574,1.0981035514181465,0.42112728509654024,0.40095129014747166,0.40503517482516826,0.41042994994889176,0.40487469206605664,0.40768815542501935,0.39853293906269416,0.39671573264736176,0.38556759023289117,0.39995566290527745,21.93292822075083,16.29653516199523,13.237515604214652,10.13403492176397,7.5600991643247415,12.860243531197169,15.260982350788831,14.062055004194614,18.78851555010172,12.35047287326876,0.7941694316585266,0.8323248519959592,0.8287606924399109,0.8435238299975287,0.8171794779979185,0.8054658036637711,0.8148427921262625,0.8230398678991361,0.8260494281484781,0.8310962083969703,0.3378188854030745,0.3202456073427708,0.3239212471071171,0.3212403229719782,0.3204404402696683,0.31675674195536785,0.30251180680928647,0.3049259360068902,0.2935614796730248,0.31430068912822684,-15.197499157168767,-10.695728524009024,-11.520444026904933,-10.362175841681285,-11.450420254212634,-11.410265991606416,-7.530714506228631,-7.648902954229393,-3.109905772161559,-8.390089335848808,1.2924254413839837,1.0922553112842763,1.0671483258585186,1.0864463361367827,1.098283850674883,1.0323830294716685,1.0598028961522592,1.0520464215377558,1.0129579031148035,1.035629343867563,0.41735521366837247,0.3927109787488175,0.40827737907489053,0.4108531783636204,0.4151031034168414,0.409290880838068,0.4057564565082913,0.4045388345102923,0.4061961028687311,0.4044632033878524,22.60743685803383,18.238699633833892,11.340546385476298,10.399627787875517,8.533547590787451,7.099258302032819,9.553776123903535,11.36465112528975,6.959122423565592,10.302442933159094,0.7950349291504812,0.8232897704890711,0.8289861314570647,0.8350393927474379,0.823204931621884,0.828575163054552,0.8346844409881202,0.8487969073618541,0.8518632869139695,0.8572479040400258,0.2846050153603527,0.2568725331115432,0.26498323565315435,0.25291155786019076,0.24713696634033694,0.25158647621518676,0.2506026481823526,0.25294670582888407,0.26203486787739255,0.253639827009951,0.006625485832933986,8.826453995538607,11.465546521601436,15.879316880502179,16.422281585796892,18.30644603711304,19.240483460071303,21.35693880573544,26.195506724744227,25.82785638887693
VRTX,34246.0,34910.0,32825.0,32612.0,33450.0,33810.0,33141.0,33560.0,33292.0,32638.0,4.763551407768696e-25,4.984830647728974e-28,6.769019412579246e-22,6.925484411055526e-22,2.8766801490215163e-25,3.047526650061926e-27,1.1351709525304918e-25,6.798915631919126e-28,1.0441859441937007e-27,3.815583866693371e-26,1.6295796910002414,1.6339021423617905,1.6306440392919588,1.6286979425317087,1.6386959213044912,1.639036490893866,1.6380517479180532,1.644876096693604,1.6480789675303276,1.650404253249168,0.3055219666305145,0.3091589670216464,0.299084519517075,0.3018215062443416,0.30658182791638094,0.3105311739767993,0.3084603178115179,0.30847055147634755,0.310799487610447,0.31227169117956594,23.24197888206422,21.315956672281185,27.186278257030448,23.514281893896957,22.019732705050156,18.57299205413818,20.33792034930949,21.778289088943705,19.867424357778038,19.632590837009463,0.19632690667086647,0.19709158927562762,0.1957266311462862,0.1962622369040548,0.19726290450242925,0.19990995436362713,0.19895486795693038,0.19925036628842557,0.20042253315297098,0.20133901407063717,0.18419564957369677,0.1911378336870746,0.17718415121352693,0.1757152058090893,0.18503838191242994,0.1920465740366662,0.18794582208124247,0.1882250180646537,0.18928340637997135,0.18967717516816124,-27.697933077334973,-29.92394536310936,-24.51295495164346,-24.156900739622603,-27.005338156223033,-29.04069312697489,-28.58362172266194,-28.565394888445166,-28.809400885427344,-28.69138705444985,1.6262170700300786,1.6250129043352257,1.618930157174157,1.6260690546711138,1.6297346130681383,1.6289714402541522,1.634917492933499,1.6294163813158846,1.6380618295733025,1.63486181995155,0.30512185236737976,0.312463078509736,0.3102385778998205,0.3067473460918274,0.3145047467599478,0.3102619407719441,0.3105597366967804,0.3157768770614783,0.3150102110557673,0.3157232562439087,21.150736758203333,16.812251486908735,16.62826149768695,20.627272411997478,15.495937387191661,19.630871348406913,20.064132577957807,19.06820483036494,19.991208680535266,17.558408561792405,0.19040091509222393,0.18821388947051793,0.18905114101140502,0.18771710066493494,0.18861682543634564,0.18966463200033973,0.1889763452978271,0.18862419704411065,0.18748304279059488,0.18955435066065895,0.1402035815041241,0.13333834609365955,0.12031682157120759,0.12466151612223804,0.11611417090154914,0.11517842516295826,0.10901806046688282,0.12401851677594061,0.11289384610520399,0.11538485783981535,-11.210631275072304,-7.664798141886836,1.1508909203973872,-1.957799930450797,4.040481522120807,4.677132211735207,7.2672666357671325,-3.114275920949305,2.4700982528124267,3.068573066093983
SBUX,45465.0,45069.0,41973.0,43901.0,40249.0,36693.0,37272.0,36616.0,29266.0,32331.0,6.134107679855001e-14,1.1462048243892945e-13,2.8230487262584644e-09,1.6734839938347433e-12,1.3107423137547561e-07,0.0003751988965036874,7.602273461129718e-05,0.00019632592057363963,0.6220882364058108,0.07470418466418542,1.281374345460792,1.2298962570749272,1.1516526404052183,1.1705885922929764,1.1598085287904283,1.097696016420282,1.1174292645871378,1.1077503506154645,1.1042392437418047,1.1549098366493398,0.3615950953839717,0.34863835845514485,0.34334188302688673,0.3365116390509758,0.3363908944246477,0.3381462334961393,0.3382676724469289,0.34140085207138604,0.33498490524011454,0.3368103898236616,15.918625250133726,20.754195837024753,11.575060177351148,18.437591987922637,18.487307387217072,11.507478428588321,14.262324472391885,9.371934235060895,12.162121736890182,17.098845289808843,0.34417667254691214,0.3297829736421345,0.3414658866770124,0.33070831576752024,0.3330246970819736,0.3248908727523234,0.3174481013037827,0.32189097132866107,0.3161977299194136,0.309484444611185,0.23791543978322097,0.21871827017695197,0.21784532516285748,0.20911997391931916,0.20950223810201207,0.20739433585447528,0.20248296182933687,0.20481073499253755,0.1992606283441199,0.19708120233774704,-26.537903253161534,-17.229084258446733,-13.839950659760609,-10.021522344050625,-10.0382947539154,-12.790804936023632,-12.056862550339437,-11.377896691310374,-8.627118887888544,-9.938688019054274,1.270431805974772,1.1905398619600043,1.1244332083683564,1.1456805003012145,1.1563921663266306,1.083166590836912,1.0899626499934958,1.0690629416316388,1.0444227599146123,1.0641538919134081,0.3602262426132981,0.3427537645569082,0.33940293714302483,0.33207238295879027,0.3386197375553191,0.34132750639996917,0.3413894325425361,0.3388841391658184,0.3357553105982434,0.342143160829667,13.763167503896213,20.176708987634818,14.96289985090381,20.97122861098483,17.86675907745878,10.23315925994244,10.62217411395713,11.101668529643035,10.681735448053583,12.68971123432102,0.3306804839723289,0.32063948331658615,0.3341221513304615,0.32054967383338434,0.32387985638486944,0.3201805781186035,0.3145637914193104,0.316278851526917,0.3180222253370647,0.32132497123977394,0.19790689565276084,0.18054506273358595,0.18478712185413548,0.17801328756348195,0.191539673848685,0.19489206763892122,0.1913818530750674,0.1926405165535293,0.20614321030264932,0.1993862405039163,-4.269423757852237,6.610261273091413,15.166317139303919,11.657878932582529,3.324859638774069,1.509681486585909,-0.5849406738008909,2.234661771812326,-7.220065209126381,8.963631256719792
C,37357.5,34190.0,28490.0,24453.0,25542.0,26829.0,21886.0,22044.0,23371.0,21691.0,0.006880860326690609,0.1696792122748566,0.9684071783902845,0.9999391885844813,0.9993286854478957,0.9931133217721186,0.9999996228622317,0.9999991794694131,0.9999717161381887,0.9999993325102151,1.3202518207644305,1.2351051864689555,1.2147536839661335,1.2030969079043328,1.1807736453738182,1.1816010789346956,1.1817083274870441,1.1979710179493435,1.2025230587122817,1.1948604343975873,0.39742964122400953,0.376569678690707,0.36852769418865955,0.36641272736149916,0.36846575475354626,0.36360580834784106,0.3600608232855476,0.35887431341675713,0.35910636616624914,0.36089876029107604,18.15458163824753,18.003037810796293,20.665480940484677,17.883805998106048,15.985041844160058,15.988642381911305,17.736245370824044,19.289739463465615,20.70894467084478,18.536558119217865,0.07433702276523659,0.06475475732760798,0.06379034137161989,0.059884744275508356,0.061284587230052534,0.05737368029030007,0.0573070126346546,0.05579796661399417,0.056027081561024455,0.05709356540889104,0.18212134397255292,0.16087682790022065,0.1494561003941508,0.14307501042389767,0.14239037220395903,0.13567918269183335,0.13546519951565136,0.1322324334538701,0.1328943727326477,0.13600423102744555,-34.12133303762893,-22.51370821275846,-14.381746440015235,-12.389605179908855,-10.380526659635642,-9.320523835741364,-9.585990412144369,-8.594670445025653,-8.741373104363728,-9.065974035475683,1.300360059575004,1.2233821180437057,1.1940193610224257,1.1931341841542518,1.156133697303963,1.1805718176076656,1.1830370637566905,1.1890603661193955,1.167683401936118,1.1572121056374447,0.38894140530264554,0.37311348190281435,0.3703612377033788,0.36501211358231694,0.3668338510540342,0.36021802997409325,0.36131096758744735,0.35968053912335707,0.3698746339661462,0.3670847729288258,24.09036504589841,15.651696868711527,17.70243806938941,19.188862807088093,13.787088328473962,14.328779362549218,15.554590698685654,16.69125002341935,15.4747251300029,13.67734489739966,0.07031858522574506,0.06227629733779457,0.06991559252339336,0.0643641735877571,0.06643656247631467,0.05918549939159069,0.06171763753743711,0.05916963231125916,0.05992946685164058,0.06123870239680276,0.1745660293402334,0.1586239821443834,0.15793493278194334,0.15551547235262214,0.15481541687018774,0.1435254221326051,0.1509904332623967,0.14860062452604375,0.14890577769859956,0.1552640144505971,-29.830073480620193,-23.1674367313935,-16.386757362920296,-15.659985005404035,-13.707070764245273,-10.543605867796025,-15.232844900789107,-17.401741907299254,-13.425337175227742,-16.222004206095157
REGN,48566.0,44394.0,34080.0,33332.0,38754.0,35624.0,22526.0,25506.0,33369.0,33221.0,1.1838490521153367e-35,1.972539305274567e-24,1.0838599410432808e-05,4.36904769122872e-05,2.3143183014687675e-13,1.7872320025906667e-08,0.9848185831571226,0.6165277927987028,3.033258434839466e-06,2.6468997658061296e-06,0.7094041032138515,0.7034946407808126,0.6980982702387788,0.6907808270204802,0.6876110440281652,0.6739425146755628,0.6649466001675945,0.6658278191515079,0.6639012891143579,0.6533570241694427,0.4445741229542835,0.4364752209252554,0.43866671214163216,0.43896453507994543,0.43668339752315116,0.4315057997090314,0.43712845534533,0.4367661879309246,0.4367836523913696,0.43474993522968325,-0.32495725146913473,7.875776652339107,3.632804125679078,1.4927146662224273,2.912495192483036,7.639953398796911,0.3830364974982868,0.9341068252906317,0.7263878465425155,2.4154514365498954,0.3432856435236475,0.3354317054374873,0.330268082532265,0.33165125354420866,0.32809548351181117,0.3226348730686201,0.3270307466194558,0.32989212889234737,0.32853869622069554,0.327390481495519,0.36778550751967426,0.34043208241173867,0.3210241455863743,0.31619147470239434,0.30502606726943804,0.285060937052337,0.2799812827516096,0.2906108174993512,0.28588238336306276,0.27132319749543876,-76.3069077012293,-64.94294204565817,-57.728052774531264,-55.2980047561628,-50.6345151776827,-42.63549802934664,-39.64654821758462,-43.42335848237755,-41.09080737175541,-34.10660822876662,0.7015359225335289,0.6940510681598282,0.6871930132404513,0.6794128855227691,0.6761997629958184,0.6587616955510301,0.6503679277614582,0.650380383018991,0.653000252973138,0.6394387706956135,0.43552961779262594,0.43410657235438493,0.4308463236311456,0.432052408251855,0.43260659577258387,0.4287675393452933,0.4353422301503548,0.4351437316414159,0.43361340071508775,0.43090596706868256,7.203683547755238,9.340215477719186,11.575030846885744,8.59118518062983,6.697280763059819,7.733669247663758,1.9668649786453671,3.3086332007296018,3.4815398057950944,5.99756990071806,0.3155069652776991,0.3218694303942861,0.33217935567198714,0.3290057388034287,0.32246950129049906,0.32414764646856964,0.3317489938451438,0.33222084921452133,0.3199036747973691,0.32570474287372003,0.27293125840906957,0.28699019665378095,0.3015369879478309,0.30320893700884666,0.27410860679935223,0.26249943895663,0.2896250762399669,0.2912791584293243,0.26452330548898423,0.25125738078782084,-38.883979906251206,-43.2793662012846,-48.04546411833115,-49.225881369265636,-36.21163688797104,-30.194465435276797,-41.55425076054248,-41.913657988723315,-31.273476668848943,-23.631292792977106
ADP,22728.0,22673.0,21444.0,20965.0,20163.0,19202.0,19334.0,18209.0,17742.0,17749.0,2.385868293390368e-29,5.154038878134883e-30,1.0091526855903476e-24,2.8333819144587217e-23,2.0880076676445278e-20,4.651118390633653e-17,2.9193069522459188e-18,1.9247393109666227e-14,2.670890714405779e-13,7.080405791123215e-14,1.2470679059284944,1.2482928798283157,1.2385079458072938,1.2339514646132403,1.2347946284783722,1.2334903828808932,1.244384090233562,1.2402954501910737,1.2462258210435402,1.2275806036008128,0.29393954590018784,0.29349738843702194,0.27960457876772643,0.2768161956625256,0.26840031727345026,0.26926879435174833,0.2692333975607651,0.27143183171129637,0.2750773963909511,0.27840292306725917,0.6109078303063935,-0.9225819031927822,4.184417199888449,5.176255937525289,9.324367399970793,7.283879100466577,7.970961638639903,7.63296044225355,7.048096205450032,2.674690325000144,0.9773959215315327,0.9830002031443783,0.986382518161235,0.9910911059402072,0.99640044079368,0.9990085939559799,1.0012552042776366,1.0070938232721873,1.0088293581479502,1.021677229953059,0.2863829053638247,0.2891007202212806,0.2601947121139866,0.25370838145589775,0.24140520328854737,0.24241595364235524,0.246152993837519,0.24112602973093109,0.25183254197096416,0.25928566751828613,-21.878827640734944,-24.085840729512185,-16.689316266625124,-14.61038564529793,-11.128829436024867,-11.54263913981663,-12.056382638610776,-10.735955663737618,-13.368719787040979,-14.461507565785963,1.236814016684435,1.234616672396375,1.2327072996686719,1.2305867222573568,1.2219751101467162,1.2231162334828904,1.2253564987668824,1.2298735193747168,1.2274026023031208,1.145476164612084,0.27598453173540366,0.27475347850882026,0.2661398930176139,0.257952068867047,0.26380677357758864,0.26067065075216483,0.2609124164237216,0.26170707891809525,0.2662117862999284,0.2679973382819761,10.705692972065009,9.495385656926207,12.566885695173582,14.856419242778067,11.468353712643278,12.176363030570052,13.296738783742526,14.432940523405719,13.685674959903011,8.487531311997017,0.9696992776133883,0.9715051738522335,0.9796650387580399,0.9875128730601164,0.9890504742801498,0.9960343168005582,1.0024262325764945,1.0031872697471895,1.0090128399355782,1.0243554266091355,0.22698902617864483,0.2128872666321046,0.21392200704705888,0.215439505121139,0.1948706688421771,0.20090639786653317,0.19796198806213014,0.20048731745791193,0.21301027411651932,0.21462713344015416,-6.526865662955077,-4.574305837955232,-4.335860906111942,-4.335599253071119,1.883675389809313,0.6797011524806725,2.031172614336137,1.7982934841282994,-0.8080886073245391,-0.06455171618314745
